layer_idx,func,term,rho,pval,checkpoint
0,cosine,S,,,3000
0,cosine,T,,,3000
0,cosine,F,,,3000
0,cosine,C,,,3000
0,l2,I,,,3000
0,l2,S,0.5221064792828934,0.0,3000
0,l2,T,0.5221064792828934,0.0,3000
0,l2,F,0.5221064792828934,0.0,3000
0,l2,C,0.5221064792828934,0.0,3000
0,norm_ratio,I,,,3000
0,norm_ratio,S,,,3000
0,norm_ratio,T,,,3000
0,norm_ratio,F,,,3000
0,norm_ratio,C,,,3000
0,spim,I,-0.05609981212216172,8.669096232812622e-228,3000
0,spim,S,,,3000
0,spim,T,,,3000
0,spim,F,,,3000
0,spim,C,,,3000
1,cosine,I,0.6522389700544626,0.0,3000
1,cosine,S,0.6085253018409663,0.0,3000
1,cosine,T,0.4029023340723538,0.0,3000
1,cosine,F,0.6989833043242917,0.0,3000
1,cosine,C,0.41659309570539105,0.0,3000
1,l2,I,0.6259309010015441,0.0,3000
1,l2,S,0.5424433128274636,0.0,3000
1,l2,T,0.3981197385004392,0.0,3000
1,l2,F,0.7052686018718602,0.0,3000
1,l2,C,0.3839242504850163,0.0,3000
1,norm_ratio,I,0.727019735886911,0.0,3000
1,norm_ratio,S,0.8488659113102596,0.0,3000
1,norm_ratio,T,0.7435970518188415,0.0,3000
1,norm_ratio,F,0.5615151126031822,0.0,3000
1,norm_ratio,C,0.39784788619778405,0.0,3000
1,spim,I,0.7427598333964963,0.0,3000
1,spim,S,0.7592374704548203,0.0,3000
1,spim,T,0.5850675590135617,0.0,3000
1,spim,F,0.7210848178533854,0.0,3000
1,spim,C,0.3985247191801279,0.0,3000
2,cosine,I,0.6139681310917076,0.0,3000
2,cosine,S,0.651874914262466,0.0,3000
2,cosine,T,0.6715927323845414,0.0,3000
2,cosine,F,0.7529460009797077,0.0,3000
2,cosine,C,0.4193027056025355,0.0,3000
2,l2,I,0.5510004475551855,0.0,3000
2,l2,S,0.6167380639912351,0.0,3000
2,l2,T,0.679792354830796,0.0,3000
2,l2,F,0.7572824647369534,0.0,3000
2,l2,C,0.41532824313635847,0.0,3000
2,norm_ratio,I,0.8181742181865023,0.0,3000
2,norm_ratio,S,0.8415694351453729,0.0,3000
2,norm_ratio,T,0.8613903335785679,0.0,3000
2,norm_ratio,F,0.634274467353312,0.0,3000
2,norm_ratio,C,0.45317434885398844,0.0,3000
2,spim,I,0.8015700645960983,0.0,3000
2,spim,S,0.7914483597079403,0.0,3000
2,spim,T,0.7928550950596406,0.0,3000
2,spim,F,0.749627098339854,0.0,3000
2,spim,C,0.6351219193744365,0.0,3000
3,cosine,I,0.43606421295696496,0.0,3000
3,cosine,S,0.6236073819056507,0.0,3000
3,cosine,T,0.4627008314133383,0.0,3000
3,cosine,F,0.7520583948813594,0.0,3000
3,cosine,C,0.34281872406999303,0.0,3000
3,l2,I,0.3816676122913052,0.0,3000
3,l2,S,0.634770209282006,0.0,3000
3,l2,T,0.532859026906797,0.0,3000
3,l2,F,0.7652192244842417,0.0,3000
3,l2,C,0.3051136952335414,0.0,3000
3,norm_ratio,I,0.7731830387120479,0.0,3000
3,norm_ratio,S,0.8430493423981199,0.0,3000
3,norm_ratio,T,0.8053783073922002,0.0,3000
3,norm_ratio,F,0.6562728484538887,0.0,3000
3,norm_ratio,C,0.34416098143583845,0.0,3000
3,spim,I,0.6066573511790974,0.0,3000
3,spim,S,0.7840502047514001,0.0,3000
3,spim,T,0.7430087331441767,0.0,3000
3,spim,F,0.7664933165279031,0.0,3000
3,spim,C,0.7283290262152199,0.0,3000
4,cosine,I,0.4488849189881235,0.0,3000
4,cosine,S,0.4988567985409961,0.0,3000
4,cosine,T,0.42531676333241314,0.0,3000
4,cosine,F,0.7597872061950268,0.0,3000
4,cosine,C,0.12503744583160914,0.0,3000
4,l2,I,0.4041146729254279,0.0,3000
4,l2,S,0.5146005000881068,0.0,3000
4,l2,T,0.5062971792351396,0.0,3000
4,l2,F,0.76002232481773,0.0,3000
4,l2,C,0.26902462488786966,0.0,3000
4,norm_ratio,I,0.7618210888029747,0.0,3000
4,norm_ratio,S,0.8175205702659567,0.0,3000
4,norm_ratio,T,0.8016477604621809,0.0,3000
4,norm_ratio,F,0.5703395433529014,0.0,3000
4,norm_ratio,C,0.358628119020671,0.0,3000
4,spim,I,0.5397343098271055,0.0,3000
4,spim,S,0.6932145264258867,0.0,3000
4,spim,T,0.7167064662069834,0.0,3000
4,spim,F,0.6988786048188815,0.0,3000
4,spim,C,0.45724580653016544,0.0,3000
5,cosine,I,0.6575426095277834,0.0,3000
5,cosine,S,0.620508697224492,0.0,3000
5,cosine,T,0.20080458527896505,0.0,3000
5,cosine,F,0.6728646383277842,0.0,3000
5,cosine,C,0.06690611812144165,0.0,3000
5,l2,I,0.6163530382187273,0.0,3000
5,l2,S,0.6763318941360867,0.0,3000
5,l2,T,0.28906376026014735,0.0,3000
5,l2,F,0.6843655771695453,0.0,3000
5,l2,C,0.0270767534671001,1.7837445987063333e-54,3000
5,norm_ratio,I,0.7479494147326814,0.0,3000
5,norm_ratio,S,0.8136675376285477,0.0,3000
5,norm_ratio,T,0.5834530265733171,0.0,3000
5,norm_ratio,F,0.5623252239245324,0.0,3000
5,norm_ratio,C,0.12731424423430082,0.0,3000
5,spim,I,0.6260883684890692,0.0,3000
5,spim,S,0.769172440090237,0.0,3000
5,spim,T,0.4656600784097878,0.0,3000
5,spim,F,0.6556136087308455,0.0,3000
5,spim,C,0.6801197529565741,0.0,3000
6,cosine,I,0.9108537917558961,0.0,3000
6,cosine,S,0.665708470280634,0.0,3000
6,cosine,T,0.3631635607754913,0.0,3000
6,cosine,F,0.7292447457048897,0.0,3000
6,cosine,C,0.2173892169736932,0.0,3000
6,l2,I,0.8466386732823837,0.0,3000
6,l2,S,0.7427012946718191,0.0,3000
6,l2,T,0.526149958814507,0.0,3000
6,l2,F,0.7877318450800234,0.0,3000
6,l2,C,0.5737499080605699,0.0,3000
6,norm_ratio,I,0.6962821554444183,0.0,3000
6,norm_ratio,S,0.8278708024105186,0.0,3000
6,norm_ratio,T,0.7056200907671115,0.0,3000
6,norm_ratio,F,0.6579681247192927,0.0,3000
6,norm_ratio,C,0.0787716048607894,0.0,3000
6,spim,I,0.8356409108832339,0.0,3000
6,spim,S,0.8023032122081138,0.0,3000
6,spim,T,0.6562921156740121,0.0,3000
6,spim,F,0.7728763643745694,0.0,3000
6,spim,C,0.7901598032642957,0.0,3000
0,cosine,I,0.0260225422647546,1.8838338903634372e-50,4000
0,cosine,S,,,4000
0,cosine,T,,,4000
0,cosine,F,,,4000
0,cosine,C,,,4000
0,l2,I,,,4000
0,l2,S,0.7096720736107577,0.0,4000
0,l2,T,0.7096720736107577,0.0,4000
0,l2,F,0.7096720736107577,0.0,4000
0,l2,C,0.7096720736107577,0.0,4000
0,norm_ratio,I,,,4000
0,norm_ratio,S,,,4000
