model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s0-eng,s1-eng,l2,S,347.77877244001473,73.5413046153389,137.75174340236592,191.35196422779458,207.98000299708698,230.31478189390668,119.79617794734047
s0-eng,s2-eng,l2,S,348.907493589712,91.40781022901518,172.1173022249455,199.1376279948904,238.85560574661673,239.54422094134145,217.3239129792624
s0-eng,sla-eng,l2,S,352.1297741972463,76.43390351312172,135.09764114302,189.15917531981523,193.5233643777183,256.31320502704733,188.97196626975935
s0-eng,ine-eng,l2,S,341.043220274891,109.45856193471568,266.02788418949604,368.80022412071605,308.79844958910775,328.72508188315953,146.58044953206218
s0-eng,mul-eng,l2,S,344.60958083671875,171.70569253289008,300.94861747222245,278.7675806251678,292.12946295864543,276.9316965584761,247.308918609428
s1-eng,s2-eng,l2,S,352.55043467796725,75.69064802027033,226.58710727847205,321.91430463177005,376.9098818585707,401.24077694656086,271.73734430068515
s1-eng,sla-eng,l2,S,356.4474849812903,52.85395285249608,147.92680931809832,357.9264741779462,310.11994222884294,400.85625618854806,207.48840490480154
s1-eng,ine-eng,l2,S,345.39774985776177,164.95194203175967,178.7073991696588,148.87295922990558,178.6042572160832,272.1396628275065,86.55092193277545
s1-eng,mul-eng,l2,S,344.3260216837314,122.26118089875747,484.6594289989156,367.34446993452184,349.79524111181274,386.30360825621705,337.5625662132283
s2-eng,sla-eng,l2,S,350.8684126982636,90.01443018743477,153.00261053327742,157.66825722526667,197.1148419930178,177.31541855218964,246.96421731670958
s2-eng,ine-eng,l2,S,339.24380226220677,109.79343642481373,373.3647507033634,483.1690600583918,439.6971050066114,488.60313319346983,311.50300639396943
s2-eng,mul-eng,l2,S,347.1495448942077,105.32949699241813,193.20604389478484,178.91945840908176,160.62059673312623,200.21744690045145,169.8640558284894
sla-eng,ine-eng,l2,S,349.63890036907026,187.94385033837187,321.732571075885,469.92661861109434,341.99846156513576,553.7103371177234,210.88869756809873
sla-eng,mul-eng,l2,S,352.18459041161634,158.96272498496944,359.9660949187299,227.0778017444865,322.2435616672979,165.75459992474475,241.2942567594094
ine-eng,mul-eng,l2,S,332.2486515955114,211.59809498811705,440.85626495025383,505.9675532995484,403.3026522569437,467.18395861166,345.576508485241
s0-eng,s1-eng,l2,T,,251.0206638630417,290.70655019079095,406.0671972287153,412.655807449772,336.0202133154943,285.8198290451064
s0-eng,s2-eng,l2,T,,147.20212998712105,99.61006688822295,157.48386327038207,144.60613560633155,127.95183320701636,126.9199472670616
s0-eng,sla-eng,l2,T,,164.67609026356035,123.04612966700724,163.07934954285324,169.50546786086355,122.01492375134977,123.09349247250667
s0-eng,ine-eng,l2,T,,142.78844345080603,268.9534198755616,512.6534552652518,513.3791452951269,455.79013320587063,286.0342705633423
s0-eng,mul-eng,l2,T,,133.91272096155598,116.97175801751338,188.58326432190614,191.47095707733527,145.2760134645453,151.66130768921954
s1-eng,s2-eng,l2,T,,266.72762081486064,265.5825063433502,313.3964930872229,325.5822285578197,273.99802596151005,160.85299869109693
s1-eng,sla-eng,l2,T,,319.23007202109153,367.8104195691846,362.3381219572769,392.1755631581927,372.9055251136751,362.70460365589383
s1-eng,ine-eng,l2,T,,165.6808051916548,140.23670616700736,168.07889883148843,213.4915132069787,148.5854663657227,95.46048144449419
s1-eng,mul-eng,l2,T,,265.5857540300479,401.41184265982696,356.10143514716526,342.7626018748447,275.6404732440569,283.182677983361
s2-eng,sla-eng,l2,T,,101.29307856301676,105.1922111144477,106.42525200970186,153.9662539615809,150.80017427993388,146.54730897657745
s2-eng,ine-eng,l2,T,,104.57194608570444,224.33953389170026,412.92077687446476,439.1020907369742,375.70985527932686,172.54097353446554
s2-eng,mul-eng,l2,T,,110.99806912397683,110.20703370410352,124.30282555962617,127.91442069177778,150.4748595394317,118.63126096051336
sla-eng,ine-eng,l2,T,,104.29220589517362,381.60922640336526,496.261368888007,480.5569772956241,514.2342696019203,346.3992235462704
