layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
5,cosine,0.14483967704196732,0.5945788468440253,0.6132820965368487,0.7626106687194547,0.15699613312719884,0.11464141907817436,0.03767235841832605,0.02604879315630081,0.03987357598246475,0.14148314846424465,1000
5,l2,22.495376640682903,18.39667299760407,18.265338737196217,15.368044726330693,22.607914489846117,0.1702242680042778,0.46040104933184717,0.28004779158691834,0.7588438029424438,0.014009226423843115,1000
5,norm_ratio,0.054777736494188344,0.4852358890050231,0.45455031053251144,0.555768693918316,0.02351061654998181,0.011833086986866219,0.02987268659429453,0.0314929145840237,0.025286231781427936,0.016855218814411748,1000
5,spim,0.007998344576083335,0.2878843466729172,0.2783437526886857,0.42385018119925993,0.001923374863053685,0.0076173330122704655,0.017366537949371912,0.017006786565937876,0.029255939336157125,0.0002409464488938684,1000
6,cosine,0.13023641414748763,0.8579113159041399,0.7058407639839812,0.908914849305012,0.5375168568497255,0.12408030896875064,0.029869622395707344,0.04786284530313982,0.031690035793525896,0.20864648979139297,1000
6,l2,22.81546147795072,15.637615126590196,18.582813367003386,13.9386731589543,22.681971080381487,0.06264427001330743,0.16436267899645038,0.190471663654188,0.5548813813305609,0.004644961686828139,1000
6,norm_ratio,0.01702439650868525,0.408830092240817,0.31083949518496856,0.46362788531434723,0.017623545819677573,0.0037628573613723145,0.02661374505663324,0.025481966936802547,0.00904150635521339,0.007093640822717515,1000
6,spim,0.0022446370569145354,0.34999926796181746,0.21829617287050027,0.42137484768383454,0.008085074426933007,0.0025700142967792026,0.011963905637651758,0.007569107653350302,0.016293775241586317,0.0003211220192094914,1000
0,cosine,1.0,0.0,0.0,0.0,0.0,1.5175129422352992e-16,0.0,0.0,0.0,0.0,2000
0,l2,0.0,28.137944335284587,28.137944335284587,28.137944335284587,28.137944335284587,0.0,0.8716092755851974,0.8716092755851974,0.8716092755851974,0.8716092755851974,2000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
0,spim,1.0,0.0,0.0,0.0,0.0,1.5175129422352992e-16,0.0,0.0,0.0,0.0,2000
1,cosine,0.6260911244286219,0.23648682403884475,0.40981223426556346,0.4577400945279321,-0.0012400884765253661,0.059722340881492454,0.059839469412548765,0.08125654139235064,0.06552589434778962,0.000778059344517551,2000
1,l2,17.985480411738813,22.218372225812324,20.63240334829638,20.077102279872424,23.345006959065035,1.1422567690214027,0.48088350270251906,0.9279208655710012,0.7797185475927345,0.26612025227956476,2000
1,norm_ratio,0.7932982708257985,0.3831267176115201,0.4843812472798674,0.449164947296535,0.2490467499706427,0.06272619355746369,0.032942542766847764,0.060378720739591225,0.03137740900422447,0.04771010988606091,2000
1,spim,0.49936148706678746,0.0914787058680441,0.20244925826823465,0.20700749720878497,-0.00029694841185128854,0.0794956033267348,0.027203659469592183,0.06339860426659882,0.041928118328802395,0.0001734567270021823,2000
2,cosine,0.38961715070305336,0.3493644617556996,0.5190430978857359,0.647166247493823,0.0013436429021334727,0.06837722636517912,0.06559803212522905,0.06682484525903942,0.06819678679083063,0.0035742786524639767,2000
2,l2,20.97922591435654,21.25751282748077,19.318826236900478,17.22164967392163,22.821034915407004,0.7568584513421706,0.5990478650873386,0.9429409054801565,1.2945181277382904,0.12337939542320289,2000
2,norm_ratio,0.5006145689463417,0.42641169458437184,0.5139253015860095,0.586252456196085,0.12154509827334455,0.07164266729155255,0.045052198866780704,0.06980406166041239,0.04384975557631653,0.0428401882924224,2000
2,spim,0.19788629226187263,0.15068631331281818,0.26948650260833845,0.3817893647233009,0.0001515270936696903,0.05567308300493605,0.03798503120724899,0.0659649306477242,0.06593371851157394,0.0003041689687392,2000
3,cosine,0.23589444847972071,0.32869150347455744,0.6142887476788675,0.7218910485870457,0.0038670643336177306,0.06818256182262529,0.06145606995679292,0.03791989465462485,0.05775173480212291,0.012264574535851268,2000
3,l2,22.017588829171228,21.391258937961478,17.927393880997105,15.687715821502312,22.674591848063503,0.4505945925456655,0.5173612929409236,0.6413793057006838,1.2816268589861783,0.04708796087511662,2000
3,norm_ratio,0.28805820588358405,0.386493273523908,0.5486131986712202,0.6394628997416016,0.05213859170171481,0.05462380123933532,0.04245617374866353,0.05627903878329699,0.04399833318346348,0.031120857644698977,2000
3,spim,0.06963728212729095,0.1287215139338574,0.33798950299243413,0.46361436052491617,3.734042150113917e-05,0.02877878456165869,0.0339925018611729,0.04918726308717607,0.06502363494009072,0.00019733403262371278,2000
4,cosine,0.16227428257642762,0.3364823712419447,0.6585667279067416,0.7877229360518339,0.03203876752379526,0.06954506025142948,0.05492129978809422,0.03507150739978138,0.04329751016219111,0.03097525766503572,2000
4,l2,22.34152608318976,21.305743072087306,17.29774386462267,14.25796813682547,22.641057356409313,0.2515262135371194,0.43652822126984897,0.6162633404513644,1.0818494699113141,0.01323067422266207,2000
4,norm_ratio,0.14919901105440309,0.33792640215210235,0.5287990229448175,0.6475358041243348,0.026362740279171102,0.032283756514360294,0.0402662891190067,0.04765681554225675,0.04159054078533604,0.017032851911638978,2000
4,spim,0.024730482669603596,0.11496046292199816,0.34873283372475533,0.5110847814494501,0.0004914392341926586,0.013461033624377084,0.028745182201054407,0.0409627053487916,0.05346570244673517,0.00015931196805557088,2000
5,cosine,0.1475426596911543,0.47704473168952816,0.6720171934081639,0.8221968267599623,0.18667777721622486,0.10774759255190632,0.04858736408725248,0.023326718393855434,0.03139208872955814,0.12506839132773653,2000
5,l2,22.474007659507603,20.21491598569509,17.34201410946128,13.632457033730216,22.600429039622732,0.17866603107303167,0.4104497726891212,0.40542534337087693,0.8551643463613724,0.009097467625820694,2000
5,norm_ratio,0.06481466423335047,0.3222213846122403,0.4784392940563588,0.6227757733716175,0.01829471254674621,0.01496020374063465,0.029848605341305942,0.033136333063227705,0.030385128492281723,0.011757510262858215,2000
5,spim,0.009779326875934968,0.1538057546556364,0.3216453608988107,0.5124915259929874,0.002278031576630381,0.008127819961608529,0.021988274372453577,0.02639470452207876,0.038090266688109733,0.000417377731323059,2000
6,cosine,0.15026407215087054,0.751773503927066,0.7138424072621046,0.8874633083593394,0.5977567172816283,0.11998737281496778,0.04538116862962935,0.022128808594787365,0.020551711665966938,0.13111490347323712,2000
6,l2,22.956996878239615,18.02347216898268,18.0509247621438,13.341920533314129,22.761580278439244,0.08216511199710681,0.3921537120053574,0.202483214359986,0.47792833608776897,0.015195560073584788,2000
6,norm_ratio,0.024339551496870365,0.3315076067260189,0.3634735307919112,0.5367451728176721,0.02128665920779629,0.0056676786921038445,0.01967586599530817,0.020610864080178835,0.019574880401818318,0.006264348264869043,2000
6,spim,0.0036651706020122037,0.24885603460965175,0.259180899820088,0.47627738897355615,0.01202050599469167,0.0031432687022972233,0.01635545391629017,0.011556377135962475,0.01890666637609616,0.0011373857981434178,2000
0,cosine,1.0,0.0,0.0,0.0,0.0,1.3637784663387165e-16,0.0,0.0,0.0,0.0,3000
0,l2,0.0,28.360562870233785,28.360562870233785,28.360562870233785,28.360562870233785,0.0,0.9990902870622437,0.9990902870622437,0.9990902870622437,0.9990902870622437,3000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000
0,spim,1.0,0.0,0.0,0.0,0.0,1.3637784663387165e-16,0.0,0.0,0.0,0.0,3000
1,cosine,0.6215638985051106,0.2002508902149609,0.4359168183421941,0.5364861740767533,-9.14305152196869e-05,0.05547821547549589,0.06843953942006324,0.07735756969885052,0.07414465078390381,0.0011498327593792582,3000
1,l2,18.000822220233644,22.236819552553523,20.280926153059827,19.058760023240264,23.414768084229838,1.0427172819549515,0.42760683582732123,0.8946640306795172,1.0420780515424068,0.3004789252911826,3000
1,norm_ratio,0.7726844065384406,0.29525718698990727,0.4482085960054726,0.47650049956421875,0.26549192353060963,0.06899692794864504,0.03785218334414397,0.06554435956123102,0.03434028315787033,0.05083962734246003,3000
1,spim,0.4827728906479348,0.06028198544047604,0.19933916558431453,0.2576234986223109,-1.7540295036331586e-05,0.07727713156476772,0.02438701781159294,0.06206137487782814,0.052409410856792925,0.0002845754498012525,3000
2,cosine,0.3768632867703538,0.31343630995030203,0.5396430828569638,0.7392701319214058,0.004400584690039221,0.06314387499158244,0.07015161271824005,0.06357909879999417,0.06124708773370417,0.004165109160883911,3000
2,l2,21.054812818754627,21.497066096046268,19.107009117547136,15.34032129787619,22.897883069080283,0.6716365994173792,0.5123202079900104,0.919670151966243,1.3878025980235733,0.1545414692181008,3000
