model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
sla-eng,rus-eng s1,norm_ratio,F,,154.94923349935902,19.5657312928851,14.054414138406488,38.17211810297376,57.74063151515247,313.58487345164656
sla-eng,rus-eng s2,norm_ratio,F,,93.74061999923725,24.24646127416387,19.25848198956808,32.503764760843296,119.02797199679765,246.62670961075673
sla-eng,rus-eng s3,norm_ratio,F,,68.22386361639062,12.837491330295665,36.575674354713556,31.64360817559451,94.845533820144,322.11308560710603
mul-eng,rus-eng s1,norm_ratio,F,,99.38669982421185,38.056723596529274,44.82842517915447,184.55014843915234,221.69288220755516,368.2131757071799
mul-eng,rus-eng s2,norm_ratio,F,,50.1305701861404,30.98330693940388,29.675625224765135,135.34960639426671,77.95649505961157,254.09766041569083
mul-eng,rus-eng s3,norm_ratio,F,,29.882992449902503,42.65334188484526,23.295154333350474,172.1365540619525,257.6006384541929,394.7790920534996
ine-eng,sla-eng,norm_ratio,F,,14.131727432141178,25.223912409449937,43.52685130468351,160.52097835878118,372.45075032307966,306.2846091237098
ine-eng,mul-eng,norm_ratio,F,,39.311327395288636,17.469729246848832,16.89671323910201,33.25857479459858,172.57085046729745,266.52362649702656
sla-eng,mul-eng,norm_ratio,F,,28.93959341643611,45.38647098164309,47.07212377299497,162.82933356097922,156.7577363950993,236.29900824029124
rus-eng s1,rus-eng s2,norm_ratio,C,,51.59678082387132,12.203355699020797,5.411779964226189,3.0201913462018033,23.015104975260574,102.0574108260987
rus-eng s2,rus-eng s3,norm_ratio,C,,20.251456234147412,3.893551441944365,8.06014530451806,5.252685542743399,18.003770646938733,149.4964481907337
rus-eng s3,rus-eng s1,norm_ratio,C,,34.82347325703854,8.078204480116804,11.548676311507442,8.075790390630427,7.171978187495682,118.76009852733266
ine-eng,rus-eng s1,norm_ratio,C,,33.79044613244593,5.2205895977528955,8.046856138769634,9.045984350715518,16.278673848962026,116.37249488247801
ine-eng,rus-eng s2,norm_ratio,C,,20.398848705057603,18.05867315357015,13.524272862981439,10.3182186727531,35.234412534471176,152.68295129266133
ine-eng,rus-eng s3,norm_ratio,C,,4.171386109208861,12.723295481613462,14.957830479153317,17.56539953479611,14.812864358308731,81.19220693123555
sla-eng,rus-eng s1,norm_ratio,C,,33.807081446774944,3.2802042477760684,7.754421109833279,9.2298497328135,16.22958660675583,136.85624035315223
sla-eng,rus-eng s2,norm_ratio,C,,18.166067324499338,12.56707346246219,11.795460419681778,10.21582393828012,23.965371006673667,174.3696966315236
sla-eng,rus-eng s3,norm_ratio,C,,5.4300977684867355,8.708673692957886,17.656584187894005,17.916502182917714,12.847849748647496,73.9150195217198
mul-eng,rus-eng s1,norm_ratio,C,,31.813281038175344,22.64942572858906,13.325758835180956,8.711802602649563,17.99313574689279,163.64655474243742
mul-eng,rus-eng s2,norm_ratio,C,,33.88236438764977,41.191720087364004,21.517247561958662,10.415293086579615,13.968183880236886,160.7352704308611
mul-eng,rus-eng s3,norm_ratio,C,,22.434742489417214,35.183322517808335,29.336934731033192,18.781402773779046,15.792760059436793,75.14197495723597
ine-eng,sla-eng,norm_ratio,C,,4.955485631316306,4.8888007678820165,10.184452238166168,2.9593560854711907,10.684508387480133,50.50450624598623
ine-eng,mul-eng,norm_ratio,C,,22.32389946983859,14.449762679827845,10.529555410442686,2.784128440758832,31.09836443915071,41.86339321433302
sla-eng,mul-eng,norm_ratio,C,,21.84217546606907,21.430391819961113,5.169581602684948,4.2440494144242535,18.005953843288758,51.25433674082326
rus-eng s1,rus-eng s2,spim,I,,16.280630318877478,36.26922806572062,18.085481997889,109.65966830292851,56.69896772822064,157.41568281549493
rus-eng s2,rus-eng s3,spim,I,,41.67866870655569,34.93926056301975,55.58466742714529,45.4199163075336,120.93486134155563,97.56377017882483
rus-eng s3,rus-eng s1,spim,I,,45.85885244426123,28.622860652933273,46.2614205882784,113.29320617043523,191.01038574106303,185.64402465358305
ine-eng,rus-eng s1,spim,I,,50.94262716396971,64.0453668103929,66.68118319426422,69.15720938799663,72.57213522893925,254.18272715246903
ine-eng,rus-eng s2,spim,I,,64.365179056706,104.72497888342521,85.83960079805547,160.27460017492078,68.01333121866381,261.8712757386243
ine-eng,rus-eng s3,spim,I,,81.00483967025605,85.38561488838914,47.0263226638912,165.00654874314873,151.60156888496712,251.15025433294406
sla-eng,rus-eng s1,spim,I,,34.50450304232489,37.61330426335199,71.29900912813824,42.37854111568193,195.68857303896428,234.06798726612672
sla-eng,rus-eng s2,spim,I,,49.95689904883518,78.59111597627933,87.2089887499555,80.50008866748075,125.41230705277209,266.3581109242706
sla-eng,rus-eng s3,spim,I,,59.38710788835805,67.58661336155129,71.74427722645103,97.3733892998119,71.3709259033749,256.4192362074562
mul-eng,rus-eng s1,spim,I,,24.166484028759076,50.51934252031948,57.54471424980918,27.20200515629166,128.48308681685083,272.376425889621
mul-eng,rus-eng s2,spim,I,0.10279301488468207,43.8166692112231,89.1668001513288,39.95717362264032,105.2599952028812,82.11500592018464,247.41735419652366
mul-eng,rus-eng s3,spim,I,,47.66357917775629,77.6029815989594,79.29719917013618,117.02721116004058,94.75470852152256,249.26827988047012
ine-eng,sla-eng,spim,I,,22.411744662618585,26.144705485793942,60.60456575013154,79.14647662476425,134.4322993161456,161.85541782443886
ine-eng,mul-eng,spim,I,,46.15608197085739,21.995312875392923,116.45443517024705,74.98280998200111,104.27934026149447,183.77020536191876
sla-eng,mul-eng,spim,I,,32.23840732874374,14.188798149090886,72.49472359646886,38.32745902761381,145.14604726526073,202.88658070061337
rus-eng s1,rus-eng s2,spim,S,,30.992075013344273,22.097173709434987,55.40989265267871,15.46720770729042,19.423246214147674,57.34028875277676
rus-eng s2,rus-eng s3,spim,S,,42.05098358228988,30.049418464657723,44.194796215336915,9.690342622117646,14.42050182375189,119.49038021738438
rus-eng s3,rus-eng s1,spim,S,,16.789886987238347,17.303812789883963,8.355536278155533,17.315235219943474,14.288233034050744,155.02908384081914
ine-eng,rus-eng s1,spim,S,,47.16247566684661,51.356775836211106,32.28675247650305,26.550466806029117,21.420316436219757,65.11249964571844
ine-eng,rus-eng s2,spim,S,,68.9630273418352,67.00248002306682,100.66530653573028,17.12032434533662,18.792976634548506,76.92722475360559
ine-eng,rus-eng s3,spim,S,,35.67427298557095,41.540338912657326,38.54728047087909,11.04131653671194,23.31832729722058,87.80257314259045
sla-eng,rus-eng s1,spim,S,,19.60727999611795,44.671468899157226,32.74096264420942,30.070653425785228,29.76997000127447,146.05210040860032
sla-eng,rus-eng s2,spim,S,,39.46241128913181,58.98166962459318,82.89481947467401,16.87311455219495,29.84255467447122,138.68708531583331
sla-eng,rus-eng s3,spim,S,,27.725741125237143,35.0618791876354,34.81730739034833,13.116822820909448,29.06573067332788,86.11800659429592
mul-eng,rus-eng s1,spim,S,,66.07525863759773,108.31044757519768,31.821249858424455,30.432924464841186,80.95028137966064,112.23971166420469
mul-eng,rus-eng s2,spim,S,,90.4941522733874,125.8351274283945,85.6075811061133,19.152826520983524,49.2052629097006,117.20719929059024
mul-eng,rus-eng s3,spim,S,,49.128094786730124,92.07484367908674,35.597343397935795,11.555729070082656,69.37471761111647,103.51199462976516
ine-eng,sla-eng,spim,S,,42.73734342149613,13.335663832598422,13.263508540857243,10.197735001471225,28.754528137190636,66.490090792799
ine-eng,mul-eng,spim,S,,22.242391868084884,43.453031003483424,13.293957521286059,9.365647011161972,33.987963581712364,57.140267580251994
sla-eng,mul-eng,spim,S,,63.18950322799275,48.14484064734882,15.872178820110946,15.213475315811547,53.65380620472696,51.355197918818924
rus-eng s1,rus-eng s2,spim,T,,129.96517422628477,13.595290094223186,13.700535449730442,55.72803101777477,416.0594678990748,148.54014699391303
rus-eng s2,rus-eng s3,spim,T,,107.34070801967103,13.537585342832365,27.872567838009818,57.38933766107449,332.53730971353787,274.5589939964904
rus-eng s3,rus-eng s1,spim,T,,292.76315122957766,20.74068074389194,35.03328298160575,93.28008920145753,82.92513846685591,355.8589538900247
