model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s1-eng,mul-eng,l2,S,344.3260216837314,1.7091722592006917,1.7091722592006917,1.7091722592006917,1.7091722592006917,1.7091722592006917,1.7091722592006917
s2-eng,sla-eng,l2,S,350.8684126982636,0.6010835894970414,0.6010835894970414,0.6010835894970414,0.6010835894970414,0.6010835894970414,0.6010835894970414
s2-eng,ine-eng,l2,S,339.2438022622068,1.3904434597810937,1.3904434597810937,1.3904434597810937,1.3904434597810937,1.3904434597810937,1.3904434597810937
s2-eng,mul-eng,l2,S,347.1495448942077,-0.34191169041695485,-0.34191169041695485,-0.34191169041695485,-0.34191169041695485,-0.34191169041695485,-0.34191169041695485
sla-eng,ine-eng,l2,S,349.63890036907026,0.15985176602567552,0.15985176602567552,0.15985176602567552,0.15985176602567552,0.15985176602567552,0.15985176602567552
sla-eng,mul-eng,l2,S,352.18459041161634,0.5317355370464698,0.5317355370464698,0.5317355370464698,0.5317355370464698,0.5317355370464698,0.5317355370464698
ine-eng,mul-eng,l2,S,332.2486515955114,1.807189041398558,1.807189041398558,1.807189041398558,1.807189041398558,1.807189041398558,1.807189041398558
s0-eng,s1-eng,l2,T,,1.0763181123669743,1.0763181123669743,1.0763181123669743,1.0763181123669743,1.0763181123669743,1.0763181123669743
s0-eng,s2-eng,l2,T,,-0.8671517274268367,-0.8671517274268367,-0.8671517274268367,-0.8671517274268367,-0.8671517274268367,-0.8671517274268367
s0-eng,sla-eng,l2,T,,-0.9139522624765702,-0.9139522624765702,-0.9139522624765702,-0.9139522624765702,-0.9139522624765702,-0.9139522624765702
s0-eng,ine-eng,l2,T,,1.0789408998632748,1.0789408998632748,1.0789408998632748,1.0789408998632748,1.0789408998632748,1.0789408998632748
s0-eng,mul-eng,l2,T,,-0.5645455376809108,-0.5645455376809108,-0.5645455376809108,-0.5645455376809108,-0.5645455376809108,-0.5645455376809108
s1-eng,s2-eng,l2,T,,-0.4521239673250221,-0.4521239673250221,-0.4521239673250221,-0.4521239673250221,-0.4521239673250221,-0.4521239673250221
s1-eng,sla-eng,l2,T,,2.0166790423022665,2.0166790423022665,2.0166790423022665,2.0166790423022665,2.0166790423022665,2.0166790423022665
s1-eng,ine-eng,l2,T,,-1.2519256008749395,-1.2519256008749395,-1.2519256008749395,-1.2519256008749395,-1.2519256008749395,-1.2519256008749395
s1-eng,mul-eng,l2,T,,1.0440636921991762,1.0440636921991762,1.0440636921991762,1.0440636921991762,1.0440636921991762,1.0440636921991762
